1;1;1;1;1;1;1;1;1;1
1.86;0.95;1.7;1.1;1.04;1.2;0.81;1.08;1.17;1.19
1.75;0.84;0.76;1.17;1.39;1.52;0.76;1.18;1.4;1.49
2.21;0.8;0.46;0.52;1.19;2.24;0.65;1.32;1.72;1.73
2.31;1.22;0.26;3.33;2.28;3.71;1.27;1.42;2;2.04
3.14;1.23;0.89;5.2;2.92;6.02;1.5;1.55;2.38;2.4
4.73;1.44;0.64;3.13;5.01;8.14;2.13;1.68;2.74;2.72
5.94;2.45;1.14;3.02;5.62;11.5;2.57;1.81;3.06;3.02
7.3;5.94;1;3.11;9.51;18.86;3.52;1.95;3.44;3.44
6.3;4.54;1.48;1.02;7.67;10.21;2.36;2.09;3.78;3.73
9.6;6.41;2.46;2.71;9.64;19.41;3.99;2.24;4.14;4.13
14.46;9.58;2.66;4.61;8.07;18.8;3.89;2.4;4.63;4.58
24.19;5.83;2.13;3.1;6.86;17.59;3.62;2.56;5.03;4.91
28.31;6.26;2;3.2;5.67;14.57;3.16;2.72;5.43;5.4
